Chemical-Aditya Birla Science & Technology Company Ltd., Mumbai
Finance and Mgmt-ShortHills Tech Pvt Ltd(Nontech), Gurgaon
Finance and Mgmt-Spenny Pte. Ltd., Bangalore
Finance and Mgmt-Takshila Learning Pvt. Ltd. (Non tech), Delhi
Finance and Mgmt-Thorogood, Bangalore
Finance and Mgmt-Trell Experiences Pvt Ltd (Non tech), Bangalore
Finance and Mgmt-UBS - Group Compliance, Pune
Finance and Mgmt-UBS Business Solutions (India) Ltd. - SOX/CFOA/BCBS– Risk based control testing, Pune
Finance and Mgmt-UBS Business Solutions (India) Private Limited - Finance Group, Mumbai
Finance and Mgmt-UBS Business Solutions (India) Private Limited - Finance Group, Pune
Finance and Mgmt-UBS Business Solutions (India) Private Limited - Group Operations, Hyderabad
Finance and Mgmt-UBS Business Solutions (India) Private Limited - Group Operations, Pune
Finance and Mgmt-UBS Business Solutions (India) Private Limited - RAS FINANCE, Pune
Finance and Mgmt-UBS Business Solutions(India)PrivateLimited-Group Operations, Mumbai
Finance and Mgmt-Udaan, Bangalore
Finance and Mgmt-VCTIP Pvt. Ltd. (Market Data Forecast) Business Development, Hyderabad
Finance and Mgmt-VCTIP Pvt. Ltd. (Market Data Forecast) Software Development, Hyderabad
Finance and Mgmt-Viacom 18 Media Pvt. Ltd. - Digital Ventures, Bangalore
Finance and Mgmt-Viacom18 Media Pvt. Ltd - Corporate Strategy, Mumbai
Finance and Mgmt-VSD Eduventures Pvt. Ltd., Gurgaon
Finance and Mgmt-Zinnov Management Consulting Pvt. Ltd.,, Bangalore
Finance and Mgmt-Zinnov Management Consulting Pvt. Ltd.,, Gurgaon
Finance and Mgmt-Zomentum (Pactora India Pvt Ltd) Nontech, Bangalore
Finance and Mgmt-ZS Associates, Bangalore
Govt Research Lab-National Chemical Laboratory, Pune
Health Care-Ascent Health and Wellness Solutions Private Limited, Mumbai, Mumbai
Health Care-National Centre for Biological Sciences, Bangalore
Health Care-Novartis Healthcare Pvt. Ltd., Hyderabad
Health Care-PharmEasy, Bangalore
Health Care-The Center for Disease Dynamics, Economics and Policy India Pvt. Ltd., New Delhi
Holy Cow Productions, Bangalore
Infrastructure-AECOM, Mumbai
Infrastructure-Alien Developers, Hyderabad
Infrastructure-BuroHappold Engineering, Mumbai
Infrastructure-Linarc India Pvt. Ltd., Chennai
Infrastructure-National Council for Cement and Building Materials, Ballabgarh
Infrastructure-Structural Engineering Research Centre, Chennai
Infrastructure-Techture Structures Pvt Ltd., Nagpur
Infrastructure-Worley Parsons India, Mumbai
IT-Abhyaas Edu Technologies Pvt. Ltd., Hyderabad
IT-Access Livelihoods Consulting India (Formerly Chitika), Hyderabad
IT-Aditya Birla Group -Data and Analytics, Bangalore
IT-Adobe Systems, Bangalore
IT-AFour Technologies Pvt. Ltd., Pune
IT-Altair Engineering India Pvt. Ltd. - Software Division, Bangalore
IT-Amazon - Machine Learning, Bangalore
IT-Amazon - Machine Learning, Hyderabad
IT-Amazon Development Center, Bangalore
IT-Amazon Development Center, Chennai
IT-Amazon Development Center, Hyderabad
IT-Amazon Professional Services, Delhi
IT-Apple India Pvt Limited, Hyderabad
IT-Asanify Technologies Pvt. Ltd., Kolkata
IT-Asteria Aerospace Pvt. Ltd., Bangalore
IT-Avaamo, Bangalore
IT-Blue Jeans Network India Pvt. Ltd., Bangalore
IT-Blue Yonder (JDA), Bangalore
IT-Blue Yonder (JDA), Hyderabad
IT-Bosch Research and Technology center, Bangalore
